Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"NYY",162,2401,6235,274,849,820,134,0.102485966,0.234643143,0.204167428,0.289598732,0.250594041,0.332046952,0.454761469,0.33758932186926793,0.3494731530602789,118.67578183654066,-4.68232804723084,132.55992045781505,-12.500888891518116,34.236442488505325
"TOR",162,2481,6180,191,798,771,77,0.084142394,0.177831715,0.162157255,0.297982167,0.26529871,0.333387648,0.427455965,0.32997342921715445,0.33871010986212985,112.46814984627306,-5.57774978177622,85.23839526503852,20.64555767737329,32.59250425703299
"CHC",162,2330,6162,223,793,771,161,0.089905874,0.207237909,0.180891719,0.28345679,0.249499545,0.320487804,0.430391264,0.3246833898751402,0.3432398591678231,109.85381593613187,10.801667811116204,82.75154431319699,16.24044223560486,31.115064821866206
"NYM",162,2402,6178,224,766,746,147,0.091129815,0.214470702,0.178119846,0.286543802,0.249037932,0.326136363,0.427157778,0.3262957174522925,0.3485173333427726,112.41566121263315,7.921768091619015,98.81865986483298,-20.72661819215864,29.03123275681555
"LAD",162,2438,6187,244,825,791,88,0.093744949,0.218684338,0.18810436,0.289487049,0.252508666,0.327337546,0.440613026,0.33096593079445763,0.3437849695288309,112.98281947909368,-1.3694183423067443,93.76605830088182,-17.1506736446172,28.91080505714234
"MIL",162,2413,6227,166,806,750,164,0.090573309,0.203308174,0.145009074,0.304505813,0.258257713,0.332418912,0.403266787,0.32195168328647744,0.3211742813581777,106.82967255827472,15.012922421097755,65.36927456371242,3.309768710285425,28.235052648325432
"PHI",162,2300,6166,212,778,753,124,0.085630879,0.216834252,0.172557549,0.302743142,0.258473808,0.327639498,0.431031357,0.32871299337196913,0.33614721392059294,109.13807346660131,7.890525104710832,74.65244770221103,-17.144677998498082,26.884333735296437
"ARI",162,2332,6210,214,791,768,121,0.087761674,0.211916264,0.181569343,0.289735924,0.251277372,0.324635332,0.432846715,0.32722720408327194,0.3322495701071452,108.71983715505877,3.7371856970712543,67.84336370234257,-11.981033615767956,26.86584277010828
"SEA",162,2424,6199,238,766,734,161,0.087756089,0.233263429,0.175572519,0.287085062,0.244456561,0.320427668,0.42002908,0.3214371064095758,0.32869841843668496,112.55221740238771,-2.8598572639748454,88.84971412887958,-43.51839214982465,26.464109677879154
"BOS",162,2371,6206,186,786,748,139,0.083467611,0.228649693,0.167206041,0.307153576,0.254225098,0.323591151,0.421431139,0.3230218389738049,0.32655398900087507,102.89318213184275,7.967682460555807,29.08352360562609,3.9533857982605696,25.230883809773093
